,question,answer,query_duration,answer_present,average_precision
0,which is the most common use of opt-in e-mail marketing,a newsletter sent to an advertising firm 's customers,22,1,1.0
1,how i.met your mother who is the mother,Tracy McConnell,7,1,0.8333333333333333
2,who had the most wins in the nfl,Tom Brady,9,1,0.2998376623376623
3,who played mantis guardians of the galaxy 2,Pom Klementieff,7,1,0.6071428571428572
4,the nashville sound brought a polished and cosmopolitan sound to country music by,"the use of lush string arrangements with a real orchestra and often , background vocals provided by a choir",9,1,1.0
5,who needs to be in the car with a permit driver,an adult licensed driver who is at least 21 years of age or older and in the passenger seat of the vehicle at all times,13,1,1.0
6,god's not dead a light in the darkness release date,"March 30 , 2018",12,1,1.0
7,who is the current president of un general assembly,Miroslav Lajčák of Slovakia,11,1,1.0
8,when do they pull the powerball numbers 2016,every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time,18,1,1.0
9,what is the name of the sea surrounding dubai,Persian Gulf,7,1,0.5555555555555555
10,when did the new maze runner movie come out,"January 26 , 2018",11,1,0.8166666666666667
11,how many players on a box lacrosse team,six,11,1,0.8542038208704875
12,where are the upcoming olympics to be held,Los Angeles for the 2028 Summer Olympics,8,1,1.0
13,where are the upcoming olympics to be held,Tokyo for the 2020 Summer Olympics,15,1,1.0
14,where are the upcoming olympics to be held,Beijing for the 2022 Winter Olympics,18,1,1.0
15,where are the upcoming olympics to be held,Paris for the 2024 Summer Olympics,9,1,1.0
16,when did the nba 3 second rule start,1936,22,1,1.0
17,when did usa start driving on the right,late 1700s,14,0,0.0
18,name some components of the central nervous system (cns),spinal cord,10,1,0.8371618280709191
19,name some components of the central nervous system (cns),brain,10,1,0.9510602823102823
20,who's the director of the price is right,Adam Sandler,15,1,0.325
21,bridge on the river kwai fact or fiction,fiction,8,1,0.7321428571428571
22,why did argentina attack the falklands/malvinas islands,an attempt to establish the sovereignty it had claimed over them,10,1,0.41666666666666663
23,what teams are in the fa cup final,Chelsea,7,1,0.8328754578754579
24,what teams are in the fa cup final,Manchester United,7,1,0.8932224341315251
25,where is a midsummer night's dream set,in the woodland and in the realm of Fairyland,12,1,1.0
26,who is the first person who went to moon,Neil Alden Armstrong,20,0,0.0
27,are pure metals made of atoms or ions,atoms,14,1,0.961771561771562
28,movement of molecules across a membrane powered by atp,primary active transport,9,1,0.5
29,who sold manhattan to the dutch in 1626,"Seyseys , chief of the Canarsees",10,1,1.0
30,what year did the movie deuces come out,2017,25,1,0.4757326007326007
31,who is the present sport minister of india,Rajyavardhan Singh Rathore,12,1,1.0
32,where was life or something like it filmed,downtown Vancouver,9,1,1.0
33,where was life or something like it filmed,"Seattle , Washington",9,1,1.0
34,the highest post in police department of karnataka state is,The Director General and Inspector General of Police ( DG&IGP ),23,1,1.0
35,where is the best farming soil in the us and where did all the dirt come from,from an ancient glacial lake bottom augmented by decades of past flooding of the Wallkill River,32,1,1.0
36,where is the best farming soil in the us and where did all the dirt come from,The Black Dirt Region,38,1,1.0
37,the pair of hand drums used in indian classical music is called,tabla,19,1,0.7738095238095238
