,question,answer,query_duration,answer_present,average_precision
0,which is the most common use of opt-in e-mail marketing,a newsletter sent to an advertising firm 's customers,7,1,1.0
1,how i.met your mother who is the mother,Tracy McConnell,9,1,0.8333333333333333
2,who had the most wins in the nfl,Tom Brady,5,0,0.0
3,who played mantis guardians of the galaxy 2,Pom Klementieff,4,1,1.0
4,the nashville sound brought a polished and cosmopolitan sound to country music by,"the use of lush string arrangements with a real orchestra and often , background vocals provided by a choir",8,1,1.0
5,who needs to be in the car with a permit driver,an adult licensed driver who is at least 21 years of age or older and in the passenger seat of the vehicle at all times,8,1,1.0
6,god's not dead a light in the darkness release date,"March 30 , 2018",8,1,1.0
7,who is the current president of un general assembly,Miroslav Lajčák of Slovakia,5,1,1.0
8,when do they pull the powerball numbers 2016,every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time,5,1,1.0
9,what is the name of the sea surrounding dubai,Persian Gulf,4,1,1.0
10,when did the new maze runner movie come out,"January 26 , 2018",13,1,1.0
11,how many players on a box lacrosse team,six,9,1,1.0
12,where are the upcoming olympics to be held,Los Angeles for the 2028 Summer Olympics,4,1,1.0
13,where are the upcoming olympics to be held,Tokyo for the 2020 Summer Olympics,4,1,1.0
14,where are the upcoming olympics to be held,Beijing for the 2022 Winter Olympics,10,1,1.0
15,where are the upcoming olympics to be held,Paris for the 2024 Summer Olympics,11,1,1.0
16,when did the nba 3 second rule start,1936,6,1,0.5
17,when did usa start driving on the right,late 1700s,7,0,0.0
18,name some components of the central nervous system (cns),spinal cord,9,1,1.0
19,name some components of the central nervous system (cns),brain,9,1,1.0
20,who's the director of the price is right,Adam Sandler,4,0,0.0
21,bridge on the river kwai fact or fiction,fiction,9,1,1.0
22,why did argentina attack the falklands/malvinas islands,an attempt to establish the sovereignty it had claimed over them,4,1,0.3333333333333333
23,what teams are in the fa cup final,Chelsea,4,1,1.0
24,what teams are in the fa cup final,Manchester United,10,1,1.0
25,where is a midsummer night's dream set,in the woodland and in the realm of Fairyland,4,1,1.0
26,who is the first person who went to moon,Neil Alden Armstrong,6,0,0.0
27,are pure metals made of atoms or ions,atoms,5,1,1.0
28,movement of molecules across a membrane powered by atp,primary active transport,4,1,0.5
29,who sold manhattan to the dutch in 1626,"Seyseys , chief of the Canarsees",4,1,0.8333333333333333
30,what year did the movie deuces come out,2017,6,1,0.5833333333333333
31,who is the present sport minister of india,Rajyavardhan Singh Rathore,5,1,1.0
32,where was life or something like it filmed,downtown Vancouver,6,1,1.0
33,where was life or something like it filmed,"Seattle , Washington",7,1,1.0
34,the highest post in police department of karnataka state is,The Director General and Inspector General of Police ( DG&IGP ),27,1,1.0
35,where is the best farming soil in the us and where did all the dirt come from,from an ancient glacial lake bottom augmented by decades of past flooding of the Wallkill River,20,1,1.0
36,where is the best farming soil in the us and where did all the dirt come from,The Black Dirt Region,25,1,1.0
37,the pair of hand drums used in indian classical music is called,tabla,29,1,1.0
38,where does the term petty officer come from,Age of Sail,8,1,1.0
39,where is israel located on the world map,"the Middle East , on the southeastern shore of the Mediterranean Sea and the northern shore of the Red Sea",22,0,0.0
40,who played smiley in tinker tailor soldier spy,Gary Oldman,12,1,1.0
41,when does brennan get pregnant the first time,season six finale,6,1,1.0
42,what causes a dead zone in the ocean,excessive nutrient pollution from human activities coupled with other factors that deplete the oxygen,10,1,1.0
43,who is the present governor of puerto rico,Alejandro Javier García Padilla,5,0,0.0
44,what affect does acetylcholine have on the sarcolemma,"can depolarize the muscle fiber , causing a cascade that eventually results in muscle contraction",4,1,1.0
45,who plays claire underwood's mom on house of cards,Ellen Burstyn,10,1,0.5833333333333333
46,who won the all ireland football final 2017,Dublin,12,1,1.0
47,who played robbie douglas wife on my three sons,Tina Cole,12,1,1.0
48,the most common system of land title in australia,Torrens title,7,1,0.5
49,who sings with jackson brown on the load out,David Lindley,5,1,1.0
50,who sings with jackson brown on the load out,Rosemary Butler,7,1,1.0
51,what happens to dr shepherd on grey's,a fatal car accident,11,1,1.0
52,when does book 2 of the 100 come out,"on September 25 , 2014",18,0,0.0
53,when did the nissan armada body style change,2016,9,1,0.8333333333333333
54,where does the name down syndrome come from,"John Langdon Down , the British doctor who fully described the syndrome in 1866",14,1,1.0
55,the number on kiss me thru the phone,678 - 999 - 8212,3,1,1.0
56,when does the regular football season start for nfl,"September 7 , 2017",6,1,0.5
57,who sold more albums elvis or micheal jackson,Michael Jackson,9,1,0.8333333333333333
58,when was the great pyramid of giza created,10 to 20 - year period concluding around 2560 BC,3,1,1.0
59,who sang theres a rat in my kitchen,UB40,4,1,1.0
60,the contribution of agriculture in india's gross domestic product is,13.7 % of the GDP,5,0,0.0
61,who's doing the halftime show in 2018,Justin Timberlake,9,1,1.0
62,when was the first freeway built in los angeles,1940,15,1,0.8333333333333333
63,when was the wizard of oz made in technicolor,1939,5,1,1.0
64,who played warren in orange is the new black,Uzoamaka Nwanneka `` Uzo '' Aduba,21,0,0.0
65,where did the bataan death march take place,"from Saysain Point , Bagac , Bataan and Mariveles to Camp O'Donnell , Capas , Tarlac , via San Fernando , Pampanga , where the prisoners were loaded onto trains",13,1,1.0
66,where do they put the chip in dogs,usually inserted below the skin at the back of the neck between the shoulder blades on the dorsal midline,10,0,0.0
